2024-06-26 21:06:892 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 21:06:04 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 21:06:264 INFO  BuyPage :19 - click on buy and sell tab[[ChromeDriver: chrome on windows (50c0b2feb7730b6f36411b0e93a99ca4)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 21:06:987 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 21:06:305 INFO  BuyPage :19 - click on buy and sell tab[[ChromeDriver: chrome on windows (2470a616fb6260d21bec42a591fc0c5c)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 22:06:216 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:830 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:622 INFO  BuyPage :19 - click on buy and sell tab[[ChromeDriver: chrome on windows (43c83b8c78313d580beffc449c68ee35)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 22:06:837 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:817 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:462 INFO  BuyPage :19 - click on buy and sell tab[[ChromeDriver: chrome on windows (706fde646f06d6b438971754dd5077c3)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 22:06:652 INFO  BuyPage :28 - click on new car[[ChromeDriver: chrome on windows (706fde646f06d6b438971754dd5077c3)] -> xpath: //a[@href='/buy-a-car/new-car-search']]
2024-06-26 22:06:971 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:715 INFO  BuyPage :19 - click on buy and sell tab[[ChromeDriver: chrome on windows (f12ea21987e7e970ac88487fd019d886)] -> xpath: //a[contains(text(),'buy + sell')]]
2024-06-26 22:06:943 INFO  BuyPage :28 - click on new car[[ChromeDriver: chrome on windows (f12ea21987e7e970ac88487fd019d886)] -> xpath: //a[@href='/buy-a-car/new-car-search']]
2024-06-26 22:06:759 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:327 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 22:06:734 INFO  BuyPage :19 - click on buy and sell tab[[ChromeDriver: chrome on windows (f8201c9bdb18c01e07d133654a59436c)] -> xpath: //a[contains(text(),'buy + sell')]]
